web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1549151201-2108,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@VegNews,VegNews Magazine,"Going somewhere? If summer vacations beckon, check out these simple, travel-friendly #vegan eats: http://veg.gy/QLTkq",1,4,,1.31008E+12,7/8/2011 3:20,/VegNews/status/89088996147347456
1549151201-3473,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@Veganism,Veganism,"http://www.vegetus.org/honey/honey.htm Why Honey is Not #Vegan - (My 2 cents:from an antislavery standpoint,it's obvious why)",,4,4,1.29658E+12,2/1/2011 23:34,/Veganism/status/32499568989970433
1549151201-761,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@MonicaSaperston,Monica Saperston,TY! RT @Erica__B: Can an Animal-Free #Diet Cure #Cancer? http://j.mp/tJ9WSA  by @AGreenLady #CancerAwareness #beatcancer #vegan #green #eco,2,2,1,1.32112E+12,11/12/2011 23:13,/MonicaSaperston/status/135412291519791107
1549151201-1432,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@YourDailyVegan,Your Daily Vegan,"If you think going #vegan is hard, imagine how hard it is for the animals that you're not. #YouCanDoIt",1,13,2,1.31604E+12,9/15/2011 4:25,/YourDailyVegan/status/114110169415290880
1549151201-2941,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@iamwellandgood,Well+Good,Who's game for the @nodirtylooks week-long vegan challenge? You could win a prize from @So_Delicious #vegan http://bit.ly/hTfsqY,,2,,1.30219E+12,4/7/2011 21:04,/iamwellandgood/status/56016947250348032
1549151201-1105,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@cleaneatscarrie,"Carrie Forrest, MPH in Nutrition","Gluten-free, #vegan pumpkin spice muffins with no added sugar or fat: http://bit.ly/pgTG6h  http://twitpic.com/70b4r1",2,3,2,1.31863E+12,10/15/2011 2:56,/cleaneatscarrie/status/124959215725985792
1549151201-203,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@GrantButler,Grant Butler,My 5 favorite #vegan cookbooks of 2011: http://bit.ly/uYwd4j,1,2,1,1.32496E+12,12/27/2011 8:57,/GrantButler/status/151504446386483202
1549151201-1228,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@peta,PETA,October is here & these pumpkin muffins are a fab way 2 kick off the month & the best part? #Vegan cream cheese frosting! http://ht.ly/6NeIO,,8,4,1.31775E+12,10/4/2011 23:08,/peta/status/121278111068323840
1549151201-2543,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@StephenHui,Stephen Hui / #105Hikes,"Late to the party, but: #Vegan Black Metal Chef makes pad thai http://bit.ly/ihCeCJ",,1,1,1.30593E+12,5/21/2011 4:34,/StephenHui/status/71712944538398721
1549151201-1092,https://twitter.com/search?l=&q=%23vegan%20since%3A2011-01-01%20until%3A2011-12-31&src=typd,@OneGreenPlanet,One Green Planet,Wisconsin Milk Board Overstates Dairy’s Benefits to Children http://ow.ly/6YQc1  #gotmilk #gotlies #dairy #vegan,,4,,1.31878E+12,10/16/2011 22:26,/OneGreenPlanet/status/125616096068907008
